id,value
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 11.Cholesterol Side-Chain Cleavage Enzyme,D08.244.453.484.250
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 11.Cytochrome P-450 CYP11B2,D08.244.453.484.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 11.Steroid 11-beta-Hydroxylase,D08.244.453.484.750
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 12,D08.244.453.485
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 17,D08.244.453.487
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 17.Steroid 17-alpha-Hydroxylase,D08.244.453.487.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 19,D08.244.453.489
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 19.Aromatase,D08.244.453.489.500
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2,D08.244.453.491
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Cytochrome P-450 CYP2A6,D08.244.453.491.250
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Cytochrome P-450 CYP2B1,D08.244.453.491.313
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Cytochrome P-450 CYP2B6,D08.244.453.491.344
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Cytochrome P-450 CYP2C8,D08.244.453.491.368
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Cytochrome P-450 CYP2D6,D08.244.453.491.372
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Cytochrome P-450 CYP2E1,D08.244.453.491.375
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Cytochrome P450 Family 2.Limonene Hydroxylases,D08.244.453.491.500
