id,value
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Brucella Vaccine,D20.215.894.135.134
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Cholera Vaccines,D20.215.894.135.225
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Diphtheria-Tetanus Vaccine,D20.215.894.135.310
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Escherichia coli Vaccines,D20.215.894.135.390
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Haemophilus Vaccines,D20.215.894.135.450
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Lyme Disease Vaccines,D20.215.894.135.492
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Meningococcal Vaccines,D20.215.894.135.500
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Pertussis Vaccine,D20.215.894.135.535
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Pertussis Vaccine.Diphtheria-Tetanus-acellular Pertussis Vaccines,D20.215.894.135.535.295
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Pertussis Vaccine.Diphtheria-Tetanus-Pertussis Vaccine,D20.215.894.135.535.300
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Plague Vaccine,D20.215.894.135.609
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Pseudomonas Vaccines,D20.215.894.135.620
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Rickettsial Vaccines,D20.215.894.135.650
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Salmonella Vaccines,D20.215.894.135.685
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Salmonella Vaccines.Typhoid-Paratyphoid Vaccines,D20.215.894.135.685.910
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Shigella Vaccines,D20.215.894.135.720
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Staphylococcal Vaccines,D20.215.894.135.744
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Streptococcal Vaccines,D20.215.894.135.750
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Streptococcal Vaccines.Pneumococcal Vaccines,D20.215.894.135.750.600
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Streptococcal Vaccines.Pneumococcal Vaccines.Heptavalent Pneumococcal Conjugate Vaccine,D20.215.894.135.750.600.500
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Tuberculosis Vaccines,D20.215.894.135.825
Complex Mixtures.Biological Products.Vaccines.Bacterial Vaccines.Tuberculosis Vaccines.BCG Vaccine,D20.215.894.135.825.100
Complex Mixtures.Biological Products.Vaccines.Cancer Vaccines,D20.215.894.200
Complex Mixtures.Biological Products.Vaccines.Fungal Vaccines,D20.215.894.354
Complex Mixtures.Biological Products.Vaccines.Protozoan Vaccines,D20.215.894.582
Complex Mixtures.Biological Products.Vaccines.Protozoan Vaccines.Leishmaniasis Vaccines,D20.215.894.582.480
Complex Mixtures.Biological Products.Vaccines.Protozoan Vaccines.Malaria Vaccines,D20.215.894.582.500
Complex Mixtures.Biological Products.Vaccines.Toxoids,D20.215.894.691
Complex Mixtures.Biological Products.Vaccines.Toxoids.Diphtheria Toxoid,D20.215.894.691.263
Complex Mixtures.Biological Products.Vaccines.Toxoids.Diphtheria Toxoid.Diphtheria-Tetanus-acellular Pertussis Vaccines,D20.215.894.691.263.290
Complex Mixtures.Biological Products.Vaccines.Toxoids.Diphtheria Toxoid.Diphtheria-Tetanus-Pertussis Vaccine,D20.215.894.691.263.300
Complex Mixtures.Biological Products.Vaccines.Toxoids.Diphtheria Toxoid.Diphtheria-Tetanus Vaccine,D20.215.894.691.263.310
Complex Mixtures.Biological Products.Vaccines.Toxoids.Staphylococcal Toxoid,D20.215.894.691.681
