id,value
"Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Papillomavirus Vaccines.Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18",D20.215.894.899.498.500
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Parainfluenza Vaccines,D20.215.894.899.500
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Poliovirus Vaccines,D20.215.894.899.623
"Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Poliovirus Vaccines.Poliovirus Vaccine, Inactivated",D20.215.894.899.623.500
"Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Poliovirus Vaccines.Poliovirus Vaccine, Oral",D20.215.894.899.623.750
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Pseudorabies Vaccines,D20.215.894.899.632
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Rabies Vaccines,D20.215.894.899.700
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Respiratory Syncytial Virus Vaccines,D20.215.894.899.730
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Rotavirus Vaccines,D20.215.894.899.760
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Rubella Vaccine,D20.215.894.899.779
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Rubella Vaccine.Measles-Mumps-Rubella Vaccine,D20.215.894.899.779.500
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.SAIDS Vaccines,D20.215.894.899.790
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Smallpox Vaccine,D20.215.894.899.859
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Viral Hepatitis Vaccines,D20.215.894.899.955
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Viral Hepatitis Vaccines.Hepatitis A Vaccines,D20.215.894.899.955.395
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Viral Hepatitis Vaccines.Hepatitis B Vaccines,D20.215.894.899.955.400
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.West Nile Virus Vaccines,D20.215.894.899.962
Complex Mixtures.Biological Products.Vaccines.Viral Vaccines.Yellow Fever Vaccine,D20.215.894.899.970
Complex Mixtures.Colloids,D20.280
Complex Mixtures.Colloids.Aerosols,D20.280.055
Complex Mixtures.Colloids.Aerosols.Nasal Sprays,D20.280.055.500
Complex Mixtures.Colloids.Aerosols.Oral Sprays,D20.280.055.750
Complex Mixtures.Colloids.Emulsions,D20.280.260
Complex Mixtures.Colloids.Gels,D20.280.320
Complex Mixtures.Colloids.Gels.Hydrogels,D20.280.320.375
Complex Mixtures.Colloids.Gels.Hydrogels.Cryogels,D20.280.320.375.500
Complex Mixtures.Colloids.Gels.Silica Gel,D20.280.320.687
Complex Mixtures.Colloids.Suspensions,D20.280.810
Complex Mixtures.Fossil Fuels,D20.345
Complex Mixtures.Fossil Fuels.Coal,D20.345.108
Complex Mixtures.Fossil Fuels.Coal.Coke,D20.345.108.110
Complex Mixtures.Fossil Fuels.Natural Gas,D20.345.369
Complex Mixtures.Fossil Fuels.Petroleum,D20.345.630
Complex Mixtures.Fossil Fuels.Petroleum.Fuel Oils,D20.345.630.500
Complex Mixtures.Fossil Fuels.Petroleum.Gasoline,D20.345.630.540
Complex Mixtures.Fossil Fuels.Petroleum.Kerosene,D20.345.630.600
Complex Mixtures.Freund's Adjuvant,D20.475
Complex Mixtures.Lignin,D20.538
Complex Mixtures.Manure,D20.601
Complex Mixtures.Particulate Matter,D20.633
Complex Mixtures.Particulate Matter.Coal Ash,D20.633.110
Complex Mixtures.Particulate Matter.Dust,D20.633.222
Complex Mixtures.Particulate Matter.Dust.Cosmic Dust,D20.633.222.200
Complex Mixtures.Particulate Matter.Smog,D20.633.875
Complex Mixtures.Particulate Matter.Smoke,D20.633.937
Complex Mixtures.Particulate Matter.Smoke.Soot,D20.633.937.339
Complex Mixtures.Particulate Matter.Smoke.Tobacco Smoke Pollution,D20.633.937.680
Complex Mixtures.Radioactive Pollutants,D20.693
"Complex Mixtures.Radioactive Pollutants.Air Pollutants, Radioactive",D20.693.101
Complex Mixtures.Radioactive Pollutants.Radioactive Fallout,D20.693.555
Complex Mixtures.Radioactive Pollutants.Radioactive Waste,D20.693.638
"Complex Mixtures.Radioactive Pollutants.Soil Pollutants, Radioactive",D20.693.756
"Complex Mixtures.Radioactive Pollutants.Water Pollutants, Radioactive",D20.693.903
Complex Mixtures.Soil,D20.721
Complex Mixtures.Soil.Humic Substances,D20.721.500
Complex Mixtures.Tars,D20.749
Complex Mixtures.Tars.Coal Tar,D20.749.354
Complex Mixtures.Tars.Tar-Water,D20.749.850
Complex Mixtures.Tissue Extracts,D20.777
Complex Mixtures.Tissue Extracts.Actihaemyl,D20.777.050
Complex Mixtures.Tissue Extracts.Cell Extracts,D20.777.162
Complex Mixtures.Tissue Extracts.Liver Extracts,D20.777.351
Complex Mixtures.Tissue Extracts.Pancreatic Extracts,D20.777.500
Complex Mixtures.Tissue Extracts.Pancreatic Extracts.Pancreatin,D20.777.500.720
Complex Mixtures.Tissue Extracts.Pancreatic Extracts.Pancrelipase,D20.777.500.745
Complex Mixtures.Tissue Extracts.Placental Extracts,D20.777.608
Complex Mixtures.Tissue Extracts.Thymus Extracts,D20.777.871
Complex Mixtures.Vehicle Emissions,D20.832
Complex Mixtures.Venoms,D20.888
Complex Mixtures.Venoms.Amphibian Venoms,D20.888.033
Complex Mixtures.Venoms.Amphibian Venoms.Batrachotoxins,D20.888.033.112
Complex Mixtures.Venoms.Amphibian Venoms.Bombesin,D20.888.033.137
Complex Mixtures.Venoms.Amphibian Venoms.Bufotenin,D20.888.033.163
Complex Mixtures.Venoms.Amphibian Venoms.Physalaemin,D20.888.033.728
Complex Mixtures.Venoms.Arthropod Venoms,D20.888.065
Complex Mixtures.Venoms.Arthropod Venoms.Ant Venoms,D20.888.065.055
Complex Mixtures.Venoms.Arthropod Venoms.Bee Venoms,D20.888.065.115
Complex Mixtures.Venoms.Arthropod Venoms.Bee Venoms.Apamin,D20.888.065.115.060
