id,value
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Nadolol,D02.033.100.624.698.601
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Oxprenolol,D02.033.100.624.698.633
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Penbutolol,D02.033.100.624.698.688
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Pindolol,D02.033.100.624.698.699
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Pindolol.Iodocyanopindolol,D02.033.100.624.698.699.420
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Practolol,D02.033.100.624.698.705
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Prenalterol,D02.033.100.624.698.708
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Propranolol,D02.033.100.624.698.711
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenoxypropanolamines.Xamoterol,D02.033.100.624.698.855
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenylpropanolamine,D02.033.100.624.706
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenylpropanolamine.p-Hydroxynorephedrine,D02.033.100.624.706.400
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenylpropanolamine.Metaraminol,D02.033.100.624.706.500
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Phenylpropanolamine.Tolterodine Tartrate,D02.033.100.624.706.750
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Pseudoephedrine,D02.033.100.624.853
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Ritodrine,D02.033.100.624.870
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Suloctidil,D02.033.100.624.890
Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Timolol,D02.033.100.624.915
"Organic Chemicals.Alcohols.Amino Alcohols.Propanolamines.Timolol.Brimonidine Tartrate, Timolol Maleate Drug Combination",D02.033.100.624.915.500
Organic Chemicals.Alcohols.Amino Alcohols.Sphingosine,D02.033.100.700
Organic Chemicals.Alcohols.Amino Alcohols.Sphingosine.Fingolimod Hydrochloride,D02.033.100.700.350
Organic Chemicals.Alcohols.Amino Alcohols.Sphingosine.Psychosine,D02.033.100.700.700
Organic Chemicals.Alcohols.Benzyl Alcohols,D02.033.160
Organic Chemicals.Alcohols.Benzyl Alcohols.Benzyl Alcohol,D02.033.160.100
Organic Chemicals.Alcohols.Chlorohydrins,D02.033.260
Organic Chemicals.Alcohols.Chlorohydrins.alpha-Chlorohydrin,D02.033.260.100
Organic Chemicals.Alcohols.Chlorohydrins.Chlorobutanol,D02.033.260.220
Organic Chemicals.Alcohols.Chlorohydrins.Ethchlorvynol,D02.033.260.335
Organic Chemicals.Alcohols.Chlorohydrins.Ethylene Chlorohydrin,D02.033.260.350
Organic Chemicals.Alcohols.Ethanol,D02.033.375
Organic Chemicals.Alcohols.Ethanol.Blood Alcohol Content,D02.033.375.135
Organic Chemicals.Alcohols.Ethanol.Ethamoxytriphetol,D02.033.375.270
Organic Chemicals.Alcohols.Ethanol.Ethanolamines,D02.033.375.291
Organic Chemicals.Alcohols.Ethanol.Ethanolamines.Ethanolamine,D02.033.375.291.375
Organic Chemicals.Alcohols.Ethanol.Ethylene Chlorohydrin,D02.033.375.310
Organic Chemicals.Alcohols.Ethanol.Mercaptoethanol,D02.033.375.534
Organic Chemicals.Alcohols.Ethanol.Phenylethyl Alcohol,D02.033.375.650
Organic Chemicals.Alcohols.Ethanol.Trifluoroethanol,D02.033.375.880
Organic Chemicals.Alcohols.Fatty Alcohols,D02.033.415
Organic Chemicals.Alcohols.Fatty Alcohols.Acetogenins,D02.033.415.054
Organic Chemicals.Alcohols.Fatty Alcohols.Butanols,D02.033.415.110
