id,value
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Single-Stranded",D13.444.308.497
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Single-Stranded.DNA, Complementary",D13.444.308.497.220
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA Transposable Elements",D13.444.308.520
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Viral",D13.444.308.568
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.DNA, Z-Form",D13.444.308.574
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.Isochores",D13.444.308.580
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.DNA.Retroelements",D13.444.308.760
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Immobilized Nucleic Acids",D13.444.404
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Heteroduplexes",D13.444.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes",D13.444.600
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics)",D13.444.600.150
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).DNA, Antisense",D13.444.600.150.200
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).DNA, Antisense.Oligodeoxyribonucleotides, Antisense",D13.444.600.150.200.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).Oligonucleotides, Antisense",D13.444.600.150.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).Oligonucleotides, Antisense.Oligodeoxyribonucleotides, Antisense",D13.444.600.150.640.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).Oligonucleotides, Antisense.Oligoribonucleotides, Antisense",D13.444.600.150.640.645
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).RNA, Antisense",D13.444.600.150.760
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Antisense Elements (Genetics).RNA, Antisense.Oligoribonucleotides, Antisense",D13.444.600.150.760.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.DNA Probes",D13.444.600.223
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.DNA Probes.DNA, Complementary",D13.444.600.223.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.DNA Probes.DNA Probes, HLA",D13.444.600.223.550
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.DNA Probes.DNA Probes, HPV",D13.444.600.223.555
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.Oligonucleotide Probes",D13.444.600.601
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.RNA Probes",D13.444.600.723
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.Nucleic Acid Probes.RNA Probes.RNA, Complementary",D13.444.600.723.480
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA",D13.444.735
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA Isoforms",D13.444.735.064
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Algal",D13.444.735.130
