id,value
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, CD.Antigens, CD7",D23.050.301.264.035.107
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, CD.Antigens, CD19",D23.050.301.264.035.119
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, CD.Antigens, CD20",D23.050.301.264.035.120
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, CD.Antigens, CD34",D23.050.301.264.035.134
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, B-Lymphocyte",D23.050.301.264.051
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, B-Lymphocyte.CD5 Antigens",D23.050.301.264.051.101
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, B-Lymphocyte.Antigens, CD19",D23.050.301.264.051.119
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, B-Lymphocyte.Antigens, CD20",D23.050.301.264.051.120
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, B-Lymphocyte.CD40 Antigens",D23.050.301.264.051.140
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte",D23.050.301.264.894
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Antigens, CD1",D23.050.301.264.894.080
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Antigens, CD1.Antigens, CD1d",D23.050.301.264.894.080.500
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD2 Antigens",D23.050.301.264.894.090
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD3 Complex",D23.050.301.264.894.095
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD3 Complex.Receptor-CD3 Complex, Antigen, T-Cell",D23.050.301.264.894.095.800
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD4 Antigens",D23.050.301.264.894.100
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD5 Antigens",D23.050.301.264.894.101
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Antigens, CD7",D23.050.301.264.894.107
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD8 Antigens",D23.050.301.264.894.108
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD13 Antigens",D23.050.301.264.894.113
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD18 Antigens",D23.050.301.264.894.118
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Thy-1 Antigens",D23.050.301.264.894.123
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Tumor Necrosis Factor Receptor Superfamily, Member 7",D23.050.301.264.894.127
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD28 Antigens",D23.050.301.264.894.128
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD56 Antigen",D23.050.301.264.894.156
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CD57 Antigens",D23.050.301.264.894.157
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.CTLA-4 Antigen",D23.050.301.264.894.158
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Dipeptidyl Peptidase 4",D23.050.301.264.894.160
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Inducible T-Cell Co-Stimulator Protein",D23.050.301.264.894.580
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, T-Lymphocyte.Programmed Cell Death 1 Receptor",D23.050.301.264.894.790
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, Myelomonocytic",D23.050.301.264.900
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, Myelomonocytic.Lipopolysaccharide Receptors",D23.050.301.264.900.045
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, Myelomonocytic.Lewis X Antigen",D23.050.301.264.900.050
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, Myelomonocytic.Platelet Endothelial Cell Adhesion Molecule-1",D23.050.301.264.900.131
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Differentiation, Myelomonocytic.Sialic Acid Binding Ig-like Lectin 3",D23.050.301.264.900.565
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Ly",D23.050.301.264.920
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Antigens, Ly.NK Cell Lectin-Like Receptor Subfamily A",D23.050.301.264.920.500
"Biological Factors.Antigens.Antigens, Surface.Antigens, Differentiation.Stage-Specific Embryonic Antigens",D23.050.301.264.965
