id,value
Inorganic Chemicals.Alkalies.Hydroxides.Sodium Hydroxide,D01.045.250.750
Inorganic Chemicals.Alkalies.Hydroxides.Water,D01.045.250.875
Inorganic Chemicals.Alkalies.Hydroxides.Water.Deuterium Oxide,D01.045.250.875.200
Inorganic Chemicals.Alkalies.Hydroxides.Water.Drinking Water,D01.045.250.875.300
Inorganic Chemicals.Alkalies.Hydroxides.Water.Ice,D01.045.250.875.400
Inorganic Chemicals.Alkalies.Hydroxides.Water.Mineral Waters,D01.045.250.875.600
Inorganic Chemicals.Alkalies.Hydroxides.Water.Mineral Waters.Carbonated Water,D01.045.250.875.600.500
Inorganic Chemicals.Alkalies.Hydroxides.Water.Steam,D01.045.250.875.800
Inorganic Chemicals.Alkalies.Lewis Bases,D01.045.625
Inorganic Chemicals.Aluminum Compounds,D01.056
Inorganic Chemicals.Aluminum Compounds.Alum Compounds,D01.056.025
Inorganic Chemicals.Aluminum Compounds.Aluminum Hydroxide,D01.056.037
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide,D01.056.050
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates,D01.056.050.075
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates.Bentonite,D01.056.050.075.100
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates.Kaolin,D01.056.050.075.350
Inorganic Chemicals.Aluminum Compounds.Aluminum Oxide.Aluminum Silicates.Zeolites,D01.056.050.075.975
Inorganic Chemicals.Arsenicals,D01.075
Inorganic Chemicals.Arsenicals.Arsenates,D01.075.025
Inorganic Chemicals.Arsenicals.Arsenites,D01.075.050
Inorganic Chemicals.Barium Compounds,D01.103
Inorganic Chemicals.Barium Compounds.Barium Sulfate,D01.103.075
Inorganic Chemicals.Boron Compounds,D01.132
Inorganic Chemicals.Boron Compounds.Boranes,D01.132.105
Inorganic Chemicals.Boron Compounds.Boranes.Borohydrides,D01.132.105.050
Inorganic Chemicals.Boron Compounds.Boric Acids,D01.132.250
Inorganic Chemicals.Boron Compounds.Boric Acids.Borates,D01.132.250.075
Inorganic Chemicals.Boron Compounds.Borinic Acids,D01.132.275
Inorganic Chemicals.Boron Compounds.Boronic Acids,D01.132.285
Inorganic Chemicals.Boron Compounds.Boronic Acids.Bortezomib,D01.132.285.500
Inorganic Chemicals.Bromine Compounds,D01.139
Inorganic Chemicals.Bromine Compounds.Bromates,D01.139.100
Inorganic Chemicals.Bromine Compounds.Hydrobromic Acid,D01.139.300
Inorganic Chemicals.Bromine Compounds.Hydrobromic Acid.Bromides,D01.139.300.050
Inorganic Chemicals.Bromine Compounds.Hydrobromic Acid.Bromides.Cyanogen Bromide,D01.139.300.050.100
Inorganic Chemicals.Cadmium Compounds,D01.142
Inorganic Chemicals.Cadmium Compounds.Cadmium Chloride,D01.142.175
Inorganic Chemicals.Calcium Compounds,D01.146
Inorganic Chemicals.Calcium Compounds.Calcium Carbonate,D01.146.275
Inorganic Chemicals.Calcium Compounds.Calcium Carbonate.Nacre,D01.146.275.500
Inorganic Chemicals.Calcium Compounds.Calcium Chloride,D01.146.300
Inorganic Chemicals.Calcium Compounds.Calcium Citrate,D01.146.307
"Inorganic Chemicals.Calcium Compounds.Calcium, Dietary",D01.146.315
Inorganic Chemicals.Calcium Compounds.Calcium Fluoride,D01.146.325
Inorganic Chemicals.Calcium Compounds.Calcium Hydroxide,D01.146.335
Inorganic Chemicals.Calcium Compounds.Calcium Phosphates,D01.146.360
Inorganic Chemicals.Calcium Compounds.Calcium Phosphates.Apatites,D01.146.360.050
Inorganic Chemicals.Calcium Compounds.Calcium Phosphates.Apatites.Hydroxyapatites,D01.146.360.050.300
