id,value
Carbohydrates.Glycoconjugates.Glycopeptides,D09.400.420
Carbohydrates.Glycoconjugates.Glycopeptides.Bleomycin,D09.400.420.110
Carbohydrates.Glycoconjugates.Glycopeptides.Bleomycin.Peplomycin,D09.400.420.110.690
Carbohydrates.Glycoconjugates.Glycopeptides.Bleomycin.Phleomycins,D09.400.420.110.710
Carbohydrates.Glycoconjugates.Glycopeptides.Peptidoglycan,D09.400.420.700
Carbohydrates.Glycoconjugates.Glycopeptides.Ristocetin,D09.400.420.800
Carbohydrates.Glycoconjugates.Glycopeptides.Teicoplanin,D09.400.420.900
Carbohydrates.Glycoconjugates.Glycopeptides.Vancomycin,D09.400.420.925
Carbohydrates.Glycoconjugates.Glycoproteins,D09.400.430
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins,D09.400.430.500
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAM12 Protein,D09.400.430.500.125
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAM10 Protein,D09.400.430.500.250
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAM17 Protein,D09.400.430.500.375
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins,D09.400.430.500.500
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins.ADAMTS1 Protein,D09.400.430.500.500.500
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins.ADAMTS13 Protein,D09.400.430.500.500.813
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins.ADAMTS4 Protein,D09.400.430.500.500.844
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins.ADAMTS5 Protein,D09.400.430.500.500.875
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins.ADAMTS7 Protein,D09.400.430.500.500.937
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.ADAMTS Proteins.ADAMTS9 Protein,D09.400.430.500.500.968
Carbohydrates.Glycoconjugates.Glycoproteins.ADAM Proteins.Fertilins,D09.400.430.500.750
Carbohydrates.Glycoconjugates.Glycoproteins.Cholesterol Ester Transfer Proteins,D09.400.430.750
Carbohydrates.Glycoconjugates.Glycoproteins.Fibrillins,D09.400.430.875
Carbohydrates.Glycoconjugates.Glycoproteins.Fibrillins.Fibrillin-1,D09.400.430.875.500
Carbohydrates.Glycoconjugates.Glycoproteins.Fibrillins.Fibrillin-2,D09.400.430.875.750
Carbohydrates.Glycoconjugates.Glycoproteins.Glycated Hemoglobin A,D09.400.430.937
Carbohydrates.Glycoconjugates.Lipopolysaccharides,D09.400.500
Carbohydrates.Glycosides,D09.408
Carbohydrates.Glycosides.Aminoglycosides,D09.408.051
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines,D09.408.051.059
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Aclarubicin,D09.408.051.059.050
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin,D09.408.051.059.200
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin.Carubicin,D09.408.051.059.200.150
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin.Doxorubicin,D09.408.051.059.200.175
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin.Doxorubicin.Epirubicin,D09.408.051.059.200.175.200
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin.Idarubicin,D09.408.051.059.200.300
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin.Nogalamycin,D09.408.051.059.200.650
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Daunorubicin.Nogalamycin.Menogaril,D09.408.051.059.200.650.500
Carbohydrates.Glycosides.Aminoglycosides.Anthracyclines.Plicamycin,D09.408.051.059.650
Carbohydrates.Glycosides.Aminoglycosides.Butirosin Sulfate,D09.408.051.120
Carbohydrates.Glycosides.Aminoglycosides.Gentamicins,D09.408.051.374
Carbohydrates.Glycosides.Aminoglycosides.Gentamicins.Sisomicin,D09.408.051.374.785
Carbohydrates.Glycosides.Aminoglycosides.Gentamicins.Sisomicin.Netilmicin,D09.408.051.374.785.525
Carbohydrates.Glycosides.Aminoglycosides.Hygromycin B,D09.408.051.420
Carbohydrates.Glycosides.Aminoglycosides.Kanamycin,D09.408.051.476
Carbohydrates.Glycosides.Aminoglycosides.Kanamycin.Amikacin,D09.408.051.476.060
Carbohydrates.Glycosides.Aminoglycosides.Kanamycin.Dibekacin,D09.408.051.476.200
Carbohydrates.Glycosides.Aminoglycosides.Kanamycin.Nebramycin,D09.408.051.476.600
Carbohydrates.Glycosides.Aminoglycosides.Kanamycin.Nebramycin.Tobramycin,D09.408.051.476.600.800
Carbohydrates.Glycosides.Aminoglycosides.Metrizamide,D09.408.051.545
Carbohydrates.Glycosides.Aminoglycosides.Neomycin,D09.408.051.623
Carbohydrates.Glycosides.Aminoglycosides.Neomycin.Framycetin,D09.408.051.623.300
Carbohydrates.Glycosides.Aminoglycosides.Neomycin.Paromomycin,D09.408.051.623.635
Carbohydrates.Glycosides.Aminoglycosides.Neomycin.Ribostamycin,D09.408.051.623.800
Carbohydrates.Glycosides.Aminoglycosides.Puromycin,D09.408.051.788
Carbohydrates.Glycosides.Aminoglycosides.Puromycin.Puromycin Aminonucleoside,D09.408.051.788.650
Carbohydrates.Glycosides.Aminoglycosides.Spectinomycin,D09.408.051.836
Carbohydrates.Glycosides.Aminoglycosides.Streptomycin,D09.408.051.885
Carbohydrates.Glycosides.Aminoglycosides.Streptomycin.Dihydrostreptomycin Sulfate,D09.408.051.885.387
Carbohydrates.Glycosides.Aminoglycosides.Streptothricins,D09.408.051.892
Carbohydrates.Glycosides.Aminoglycosides.Streptozocin,D09.408.051.900
Carbohydrates.Glycosides.Anthocyanins,D09.408.084
Carbohydrates.Glycosides.Atractyloside,D09.408.105
Carbohydrates.Glycosides.Cardiac Glycosides,D09.408.180
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides,D09.408.180.261
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Digitonin,D09.408.180.261.236
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Digitoxin,D09.408.180.261.336
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Digitoxin.Acetyldigitoxins,D09.408.180.261.336.259
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Digoxin,D09.408.180.261.436
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Digoxin.Acetyldigoxins,D09.408.180.261.436.050
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Digoxin.Medigoxin,D09.408.180.261.436.500
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Lanatosides,D09.408.180.261.657
Carbohydrates.Glycosides.Cardiac Glycosides.Digitalis Glycosides.Lanatosides.Deslanoside,D09.408.180.261.657.200
Carbohydrates.Glycosides.Cardiac Glycosides.Proscillaridin,D09.408.180.660
Carbohydrates.Glycosides.Cardiac Glycosides.Strophanthins,D09.408.180.810
Carbohydrates.Glycosides.Cardiac Glycosides.Strophanthins.Cymarine,D09.408.180.810.250
Carbohydrates.Glycosides.Cardiac Glycosides.Strophanthins.Ouabain,D09.408.180.810.600
Carbohydrates.Glycosides.Chromomycins,D09.408.210
Carbohydrates.Glycosides.Chromomycins.Chromomycin A3,D09.408.210.209
Carbohydrates.Glycosides.Galactosides,D09.408.320
Carbohydrates.Glycosides.Galactosides.Methylgalactosides,D09.408.320.500
Carbohydrates.Glycosides.Galactosides.Nitrophenylgalactosides,D09.408.320.550
Carbohydrates.Glycosides.Galactosides.Thiogalactosides,D09.408.320.820
Carbohydrates.Glycosides.Galactosides.Thiogalactosides.Isopropyl Thiogalactoside,D09.408.320.820.500
Carbohydrates.Glycosides.Glucosides,D09.408.348
Carbohydrates.Glycosides.Glucosides.Amygdalin,D09.408.348.050
Carbohydrates.Glycosides.Glucosides.Arbutin,D09.408.348.075
Carbohydrates.Glycosides.Glucosides.Canagliflozin,D09.408.348.113
Carbohydrates.Glycosides.Glucosides.Chloralose,D09.408.348.150
Carbohydrates.Glycosides.Glucosides.Esculin,D09.408.348.250
Carbohydrates.Glycosides.Glucosides.Etoposide,D09.408.348.275
Carbohydrates.Glycosides.Glucosides.Iridoid Glucosides,D09.408.348.387
Carbohydrates.Glycosides.Glucosides.Methylglucosides,D09.408.348.500
Carbohydrates.Glycosides.Glucosides.Methylglucosides.3-O-Methylglucose,D09.408.348.500.500
Carbohydrates.Glycosides.Glucosides.Teniposide,D09.408.348.800
Carbohydrates.Glycosides.Glucosides.Thioglucosides,D09.408.348.820
Carbohydrates.Glycosides.Glucosides.Thioglucosides.Glucosinolates,D09.408.348.820.350
Carbohydrates.Glycosides.Iridoid Glycosides,D09.408.423
Carbohydrates.Glycosides.Iridoid Glycosides.Iridoid Glucosides,D09.408.423.500
Carbohydrates.Glycosides.Lincosamides,D09.408.471
Carbohydrates.Glycosides.Lincosamides.Lincomycin,D09.408.471.500
Carbohydrates.Glycosides.Lincosamides.Lincomycin.Clindamycin,D09.408.471.500.125
Carbohydrates.Glycosides.Mannosides,D09.408.490
Carbohydrates.Glycosides.Mannosides.Methylmannosides,D09.408.490.500
Carbohydrates.Glycosides.Methylglycosides,D09.408.514
Carbohydrates.Glycosides.Methylglycosides.Methylgalactosides,D09.408.514.455
Carbohydrates.Glycosides.Methylglycosides.Methylglucosides,D09.408.514.622
Carbohydrates.Glycosides.Methylglycosides.Methylglucosides.3-O-Methylglucose,D09.408.514.622.500
Carbohydrates.Glycosides.Methylglycosides.Methylmannosides,D09.408.514.700
Carbohydrates.Glycosides.Novobiocin,D09.408.554
Carbohydrates.Glycosides.Nucleosides,D09.408.595
Carbohydrates.Glycosides.Nucleotides,D09.408.620
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars,D09.408.620.569
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Adenosine Diphosphate Sugars,D09.408.620.569.070
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Adenosine Diphosphate Sugars.Adenosine Diphosphate Glucose,D09.408.620.569.070.075
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Adenosine Diphosphate Sugars.Adenosine Diphosphate Ribose,D09.408.620.569.070.125
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Adenosine Diphosphate Sugars.Adenosine Diphosphate Ribose.O-Acetyl-ADP-Ribose,D09.408.620.569.070.125.040
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Adenosine Diphosphate Sugars.Adenosine Diphosphate Ribose.Cyclic ADP-Ribose,D09.408.620.569.070.125.195
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Adenosine Diphosphate Sugars.Adenosine Diphosphate Ribose.Poly Adenosine Diphosphate Ribose,D09.408.620.569.070.125.600
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Cytidine Diphosphate Diglycerides,D09.408.620.569.200
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Guanosine Diphosphate Sugars,D09.408.620.569.400
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Guanosine Diphosphate Sugars.Guanosine Diphosphate Fucose,D09.408.620.569.400.410
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Guanosine Diphosphate Sugars.Guanosine Diphosphate Mannose,D09.408.620.569.400.500
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars,D09.408.620.569.727
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate N-Acetylgalactosamine,D09.408.620.569.727.100
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate N-Acetylglucosamine,D09.408.620.569.727.120
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate N-Acetylmuramic Acid,D09.408.620.569.727.150
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate Galactose,D09.408.620.569.727.300
Carbohydrates.Glycosides.Nucleotides.Nucleoside Diphosphate Sugars.Uridine Diphosphate Sugars.Uridine Diphosphate Glucose,D09.408.620.569.727.350
