id,value
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine",D12.125.072.050.685
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.Dihydroxyphenylalanine",D12.125.072.050.685.400
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.Dihydroxyphenylalanine.Cysteinyldopa",D12.125.072.050.685.400.180
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.Dihydroxyphenylalanine.Levodopa",D12.125.072.050.685.400.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.Dihydroxyphenylalanine.Methyldopa",D12.125.072.050.685.400.600
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.Fenclonine",D12.125.072.050.685.440
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.N-Formylmethionine Leucyl-Phenylalanine",D12.125.072.050.685.445
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.p-Fluorophenylalanine",D12.125.072.050.685.450
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Phenylalanine.Melphalan",D12.125.072.050.685.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Thyroxine",D12.125.072.050.767
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Thyroxine.Thyronines",D12.125.072.050.767.741
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Thyroxine.Thyronines.Diiodothyronines",D12.125.072.050.767.741.180
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Thyroxine.Thyronines.Triiodothyronine",D12.125.072.050.767.741.894
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Thyroxine.Thyronines.Triiodothyronine, Reverse",D12.125.072.050.767.741.947
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tryptophan",D12.125.072.050.850
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tryptophan.5-Hydroxytryptophan",D12.125.072.050.850.479
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine",D12.125.072.050.875
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Betalains",D12.125.072.050.875.064
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Betalains.Betacyanins",D12.125.072.050.875.064.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Dihydroxyphenylalanine",D12.125.072.050.875.130
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Dihydroxyphenylalanine.Cysteinyldopa",D12.125.072.050.875.130.180
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Dihydroxyphenylalanine.Levodopa",D12.125.072.050.875.130.500
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Dihydroxyphenylalanine.Methyldopa",D12.125.072.050.875.130.600
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Diiodotyrosine",D12.125.072.050.875.262
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Melanins",D12.125.072.050.875.379
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Methyltyrosines",D12.125.072.050.875.485
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Methyltyrosines.alpha-Methyltyrosine",D12.125.072.050.875.485.050
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Monoiodotyrosine",D12.125.072.050.875.496
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Amino Acids, Aromatic.Tyrosine.Phosphotyrosine",D12.125.072.050.875.750
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Cycloleucine",D12.125.072.170
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Desmosine",D12.125.072.200
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Histidine",D12.125.072.329
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Histidine.Ergothioneine",D12.125.072.329.269
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Histidine.Methylhistidines",D12.125.072.329.539
"Amino Acids, Peptides, and Proteins.Amino Acids.Amino Acids, Cyclic.Imino Acids",D12.125.072.401
